Product Name,Mass,Kcals,Pro,CHO,Fat,Sat Fat,Na,K,Mg,Fe,Zn,Ca,p,Fiber
Meatloaf,119,177.3,17.3,16.4,4.7,2.2,698.6,499.4,32.4,2.7,3.1,22.5,173,0
Mexican Scrambled Eggs,36,202,14,7,13.5,6.55,345.7,266,21,1.5,1.5,144,251,0
Milk,0,0,0,0,0,0,0,110,0,0,0,0,0,0
Minestrone Soup,227,84,3.09,16.3,2,0,251.3,462.9,31.37,1.41,0.43,53.8,65,2.6
Mixed Vegetables,113,57,3.4,12.5,1.3,0,47,249,26,0.97,0.5,25,62,4.6
Noodles & Chicken,28,105,4.2,18.9,1.7,0.5,552.7,98,11.3,0.5,0.35,12,60.5,0.83
Nut & Fruit Granola Bar,35,135,2.9,24,3.9,0.4,90.23,90,29,0.63,0.6,204,69,2
Oatmealw/ Brown Sugar,46.1,170,5,35,1.8,0.4,233,178,44,3.8,0.89,134,157,1.7
Oatmealw/ Raisins & Spice,47.2,162,3.2,38,0.9,0,307,185,32,5.7,0.67,146,113,2.5
Orange Drink,11.9,43,0.02,11,0,0,2.4,2.1,1.5,0,0.14,107.5,51,0
Orange Drink w / A/S,2.3,7,0.06,2,0,0,3.4,80,7.8,0,0,28,15,0
Orange Ju.ice,35,123.6,1.6,29.2,0,0,8.3,438.8,22.8,0.3,0,21.3,36.6,0.8
Orange-Grapefruit Drink,19.9,73,0.5,18,0,0,25,113,6,0.2,0,18,16,0
Orange-Mango Drink,8.9,32,0.03,8,0,0,10,8,1,0,0,159,134,0
Orange-Pineapple Drink,8.9,30,0,8,0,0,10,6,1,0,0,137,115,0.28
Pasta w / Pesto Sauce,114,124,7,25,0.5,0,337,62,22,1.1,0.8,40,70,2.5
Pasta w / Shrimp,40,135.6,10.5,23,0.74,0,581,200,31,0.9,0.83,33,140,1.4
Peach-Apricot Drink,26.9,104,0,26,0,0,0.35,1.4,0,0,0,0.81,0.13,0
Peaches,153,75,0.64,20,0.11,0,6.9,241,8.34,0.09,0.15,8.1,22.5,2.46
Peanut Butter,32,205,8,5.5,17,4.4,2.4,234,69,0.66,1.2,15,152,1.3
Peanuts,45,274,13,7.5,22,4.3,0.54,325,88,0.68,1.3,30,174,2.8
Pears,128,61,0.24,15,0.12,0,3.5,46,5,0.4,0.05,5,9.6,0.6
Pineapple,128,91,0.5,23.8,0.04,0,63.5,156,18,0.3,0.2,18,10,1.7
Pineapple Drink,4.9,17,0.06,4,0.06,0,5.8,7.5,0.63,0.09,0,111,100,0
Potato Medley,142,139,2.4,30.2,2.8,1,73.3,566.6,26.1,0.7,1.72,21.6,95,4.09
Potato Soup,234,124,3.9,22,3.5,2.1,325.5,426,25,0.35,0.56,81,111,2.6
Potatoes au Gratin,30,141,4,16,7,2.5,606,187,16,0,0.61,109,126,1.2
Red Beans & Rice,227,159,10,36,0.45,0,292.4,624,64,3.34,1.43,61,191,7.9
Rhubarb Applesauce,142,56.8,0.64,15.5,0.23,0,6,197,7.34,0.23,0.26,35.5,16.9,3.15
Rice & Chicken,34,154,3.5,22,5.8,1,595,40,6.2,0.2,0.52,8,42,0.41
Rice Pilaf,25,103,2,20,1.8,1.2,369,48,8.5,0.21,0.27,20,37,0.5
Rice Pudding,38.5,142,3,31,0.8,0.47,95,189,11,0.06,0.53,67,59,0.93
Ricew/ Butter,115,168,3.2,34,2.7,1.4,180,20,3.3,0.3,0.32,5.8,27,1.2
Salmon,74,85,16,1.74,1.5,0.5,372,255,26,0.43,0.4,22,173,0
Sausage Pattie,18,127,4.5,0.5,12,4.2,292,73,6,0.28,0.51,6,81,0.09
Scrambled Eggs,34.5,183,13,6,12,6,333.3,254,20,1.2,1.4,128,225,0.91
Seafood Gumbo,198,129,13,10.55,4.5,2,293,471,24,1.45,1.72,55,162,1.92
Seasoned Scrambled Eggs,35,187,13,6.3,13,6.2,401.6,264,33,1.1,1.2,147,254,0.8
Shortbread Cookies,29,139,1.4,20,6,1.6,111,25,3.7,1.1,0,3,17,0.4
Shrimp Cocktail,35,117.95,14.14,13.74,0.7,0.16,705.25,217.32,26.41,0.12,1.1,50.75,152.67,1.4
Shrimp Fried Rice,32,114.56,11.54,15.91,0.54,0,413.4,76.19,16.69,0.25,1.19,28.93,191.2,0.66
Smoked Turkey,90,108,19,0.44,3,1.3,757,248,15,0.64,,4,211,0
Southwestern Com,170,124.1,3.98,26.33,1.48,0,245.82,343.4,27.66,0.53,0.71,15.81,103.87,2.65
Split Pea Soup,227,180,14,33,1.23,0,283,515,51,3.02,1.56,30,235,4.65
Strawberries,28,89,,23,0,0,7,204,18,0.35,0.14,28,33,1.6
Strawberry Drink,5.6,19,0,4.6,0,0,13,9,0.94,0.14,0,140,136,0
Sweet & Sour Chicken,36,144,21,11,2,0.3,223.7,263,23,0.1,0.7,5,159,0.3
Sweet & Sour Pork,198,178,8.2,30.7,3.4,0.9,519.2,312,18,1.1,1.2,20,121,2.1
Tea,100,2.57,0.2,0.63,0,0,0.5,73.5,4.16,0,0,1.3,2.7,0.1
Tea w/ Cream & Sugar,10.7,41,0.19,10,0.05,0,2.5,93,4.2,0,0,1.1,8,0.15
Tea w/ Lemon & A/S,2,7,0.1,1.7,0,0,0.6,51,3.5,0.1,0.01,0.5,0.6,0
Tea w / Lemon & Sugar,21,84,0,21,0,0,1.9,57,1.5,0,0,12,6,0
Tea w/ Sugar,13.5,53,0.15,13,0,0,0.4,60,3,0,0,1.2,2.3,0
Tea with A/S,1.5,5,0.2,,0,0,4,73,4,0,0,,3,0
Tea with Cream,2.7,22,0.3,3,1.1,,6,88,4,0,0,,9,0
Tea with Lemon,1.4,5,0.04,1.2,0,0,1.4,32,,0,0,0.5,0.7,0
Teriyaki Beef Steak,120,234,39,4,6.8,2.7,863,550,46,3.4,6,12,313,0
Teriyaki Chicken,37,142,23,9,1.8,0.9,977.2,290,26,0.42,0.7,18,177.5,0.23
Teriyaki Vegetables,18.5,47,3.7,11,0.12,0,633,315,28,0.63,0.5,45,71,3
Tofuw/ Hoisin Sauce,142,125,12,17.8,1.5,0,660.4,305.2,45.4,2.1,0.87,65.6,133.6,1.8
Tofu w/ Hot Mustard Sauce,135,111,11,15,1.4,0,197,312,0.53,1.1,0.93,85,128,1.8
Tomato Basil Soup,170,54.4,2.4,8.9,1.9,0,535.3,451.9,27.9,0.8,0.4,76.8,65.3,2.1
Tomatoes & Artichokes,15,44.7,2.1,8.84,1.3,0.24,340.5,265,31,2.11,0.33,39.74,55,2.6
Tomatoes & Eggplant,170,65,1.7,10,3.8,0.66,582,463,23,0.08,0.22,35,44,4
Tortillas,60,189,5,34,4,1,421,132,14,2.5,0.46,74,62,
Trail Mis,50,215,4,33,8.6,2.8,29,126,33,0.8,0.5,18,56,2
Tropical Fruit Salad,142,81,0.37,21,0.08,0,12,85,9,0.21,0.06,37,6.5,1.9
Tropical Punch,25,97,0,24,0,0,1.7,0.95,45.5,0.1,0.03,44,19,0
Tropical Punch w/ A/S,1.5,5,0.06,1.26,0,0,13,20,0.29,0.03,0,27,15,0
Tuna,74,79,17,2,0,0,118,275,27,0,0,3,177,0
Tuna Salad Spread,85,100,13,4,3,1,410,170,0,0,0,0,0,1
Turkey Tetrazzini,27,117,8.6,12,4.2,1,367,183,16,0.56,0.95,47,100,0.72
Vanilla Breakfast Drink,38.8,136,7.5,27,0,0,168.3,77,79,3.7,3,681,242,0.3
Vanilla Pudding,114,128,2,29,0.63,0,156,109,6,0,0,68,52,0
Vegetable Quiche,50,271,15.5,13,18,11.5,462,418,31,0.94,2.5,339,321.5,1.3
Vegetarian Vegetable Soup,227,95,2,23,0.3,0,389,363,22,0.93,0.38,29,55,1.7
Waffles,43,208,3,23,12,2.6,100,53,6,2,0,18,37,0.5
Wheat Flat Bread,57,194,5,33,5,1,381,86,22,2,0.4,160,156,1.6
Yogurt Covered Granola Bar,35,159,3.9,20,7.5,2.3,125.5,111,39,0.7,0.6,46,78.5,3
Cherry,4,4,0.1,0,0,0,0,0,0,0,0,0,0,0
Banana,50,90,1.1,0.3,23,0,0,362,0,0,0,0,0,0
Strawberry,0.5,2,0,0,0.5,0,0,11,0,0,0,0,0,0
